title,image,lat,lng
Glacier National Park,vacation-1985_0001.jpg,49.019016,-114.04435
Mountains,vacation-1985_0002.jpg,49.084743,-113.914009
Glacier National Park,vacation-1985_0003.jpg,49.084743,-113.914009
Glacier National Park,vacation-1985_0004.jpg,49.019016,-114.04435
Falls in Montana,vacation-1985_0005.jpg,47.567669,-111.12426
Mt Rushmore,vacation-1985_0006.jpg,43.879101,-103.459068
Unknown Fire Tower,vacation-1985_0007.jpg,46.985111,-111.206444
Unknown,vacation-1985_0008.jpg,49.084743,-113.914009
Family Pic,vacation-1985_0009.jpg,49.084743,-113.914009
Badlands,vacation-1985_0010.jpg,49.084743,-113.914009
Badlands,vacation-1985_0011.jpg,44.427963,-110.588455
Unknown,vacation-1985_0012.jpg,49.084743,-113.914009
Mud Flats in Yellowstone,vacation-1985_0013.jpg,44.356045,-110.796326
Yellowstone,vacation-1985_0014.jpg,44.720062,-110.479988
Yellowstone,vacation-1985_0015.jpg,44.719906,-110.479805
Buffalo,vacation-1985_0016.jpg,44.427963,-110.588455
Circus World Museum,vacation-1985_0017.jpg,43.466675,-89.729561
Circus World Museum,vacation-1985_0018.jpg,43.466675,-89.729561
Circus World Museum,vacation-1985_0019.jpg,43.466675,-89.729561
Circus World Museum,vacation-1985_0020.jpg,43.466675,-89.729561
Badlands,vacation-1985_0021.jpg,43.983334,-103.75
Badlands,vacation-1985_0022.jpg,43.983334,-103.75
Prairie Dog,vacation-1985_0023.jpg,43.749626,-101.942131
Sod House,vacation-1985_0024.jpg,43.749626,-101.942131
Badlands,vacation-1985_0026.jpg,49.089363,-113.966606
Unknown,vacation-1985_0027.jpg,49.089157,-113.966331
Pops,vacation-1985_0028.jpg,49.088821,-113.966499
Unknown,vacation-1985_0029.jpg,49.089046,-113.966843
The Van,windy-city-camp-85.jpg,41.550327,-87.81218
The Tent,windy-city-camp-85_0001.jpg,41.550201,-87.812096
